STT,Mã hàng,Tên hàng,ĐVT,Số lượng ,Vị trí,Loại Vải,Tính trạng,Ghi chú,Status_Computed
1.0,3 PASS BO - WHITE - COL 15,Vải 3 PASS BO - WHITE - COL 15 Khổ 280cm,m,45.97,T4 giữa A-B (phía trong),lót,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
2.0,33139-2-270,Vải 33139-2-270 Khổ 280cm,m,45.9,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
3.0,71022-10,Vải lá màu trắng W280 cm,m,29.0,T4 B1.2,,,,available
4.0,71022-7,Vải 71022-7 Khổ 280cm,m,54.0,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
5.0,8015-1,Vải 8015-1 Khổ 290cm,m,12.49,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
6.0,8059,Vải 8059 Khổ 280cm,m,36.7,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
7.0,99-129-39,Vải 99-129-39 khổ 280cm,m,85.8,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
8.0,A9003-5,Vải A9003-5 Khổ 280cm,m,45.1,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
9.0,AS22541-5,"AS22541-5 - 100% Polyeste W285cm, color: 5",m,16.1,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
10.0,AS22878-7,"AS22878-7 - 100% Polyeste, W280cm, color: 7",m,15.0,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
11.0,DCR-71022-8,Vải Lá Màu Xanh W280cm,m,387.0,T4 B2.2,,,,available
12.0,DCR-MELIA-NHẠT,DCR-MELIA NHẠT W280cm,m,28.0,T4.B3.2,,,,available
13.0,FB15141A21,Vải FB15141A21 Khổ 300cm,m,10.8,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
14.0,FB15144A3,Vải chính FB15144A3# khổ 290cm,m,63.2,T4.A3.1,,,,available
15.0,FB15148A21,Vải FB15148A21 Khổ 300cm,m,18.4,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
16.0,FB15157A1,Vải FB15157A1 Khổ 300cm,m,18.6,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
17.0,FB15169A4,Vải FB15169A4 Khổ 300cm,m,13.0,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
18.0,FB15198A5,Vải FB15198A5 Khổ 300cm,m,15.4,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
19.0,FB15198A6,Vải FB15198A6 Khổ 300cm,Cuộn,76.0,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
20.0,FS-PURPLE,Vải FS-PURPLE Khổ 280cm,m,64.5,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
21.0,FS-Ruby,Vải FS-Ruby Khổ 280cm,m,58.85,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
22.0,FS-TEAL,Vải FS-TEAL Khổ 280cm,m,157.0,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
23.0,HB/BST/DY,Vải HB/BST/DY Khổ 290cm,m,12.3,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
24.0,HY FAGEL-SILVER,Vải HY FAGEL-SILVER Khổ 280cm,m,45.97,T4 giữa A-B (phía ngoài),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
25.0,JK090E-01,Vải JK090E-01 Khổ 280cm,m,27.0,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
26.0,JNF/19,Vải JNF/19 Khổ 280cm,m,16.2,T4 giữa A-B (phía trong),,"Lỗi nhẹ, bẩn, mốc nhẹ",,damaged
