STT,Mã vải,Tên sản phẩm,Số lượng,Vị trí,Lý do ẩn,Hành động đề xuất
1,"3 PASS BO - WHITE - COL 15","Vải 3 PASS BO - WHITE - COL 15 Khổ 280cm",45.97,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
2,"33139-2-270","Vải 33139-2-270 Khổ 280cm",45.9,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
3,"71022-7","Vải 71022-7 Khổ 280cm",54.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
4,"8015-1","Vải 8015-1 Khổ 290cm",12.49,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
5,"8059","Vải 8059 Khổ 280cm",36.7,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
6,"99-129-39","Vải 99-129-39 khổ 280cm",85.8,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
7,"A9003-5","Vải A9003-5 Khổ 280cm",45.1,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
8,"AS22541-5","AS22541-5 - 100% Polyeste W285cm",m,"16.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
9,"AS22878-7","AS22878-7 - 100% Polyeste",color: 7,"m","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
10,"DCR-MELIA-NHẠT","DCR-MELIA NHẠT W280cm",28.0,"T4.B3.2","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
11,"FB15141A21","Vải FB15141A21 Khổ 300cm",10.8,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
12,"FB15148A21","Vải FB15148A21 Khổ 300cm",18.4,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
13,"FB15157A1","Vải FB15157A1 Khổ 300cm",18.6,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
14,"FB15169A4","Vải FB15169A4 Khổ 300cm",13.0,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
15,"FB15198A5","Vải FB15198A5 Khổ 300cm",15.4,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
16,"FB15198A6","Vải FB15198A6 Khổ 300cm",76.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
17,"FS-PURPLE","Vải FS-PURPLE Khổ 280cm",64.5,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
18,"FS-Ruby","Vải FS-Ruby Khổ 280cm",58.85,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
19,"FS-TEAL","Vải FS-TEAL Khổ 280cm",157.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
20,"HB/BST/DY","Vải HB/BST/DY Khổ 290cm",12.3,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
21,"HY FAGEL-SILVER","Vải HY FAGEL-SILVER Khổ 280cm",45.97,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
22,"JK090E-01","Vải JK090E-01 Khổ 280cm",27.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
23,"JNF/19","Vải JNF/19 Khổ 280cm",16.2,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
24,"Lót bông nhăn","Vải Lót bông nhăn Khổ 235cm",38.83,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
25,"N208BOFR","Vải N208BOFR Khổ cm",50.0,"T4 Palet giữa F-G","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
26,"SG21-19-4007","Vải SG21-19-4007 Khổ 280cm",44.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
27,"W5601-20","Vải W5601-20 khổ 140cm",7.0,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
28,"YB093","Vải YB093 khổ 230cm",136.0,"T4 giữa A-B (phía ngoài)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
29,"YB096","Vải YB096 Khổ 280cm",6.9,"T4 giữa A-B (phía trong)","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
30,"0248243680103","Vải Panama Pro Of 1% BJ01A white- pearl khổ 250 cm",4.2,"T4.G2.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
31,"0248243802071-TUISS","BD03A TRAVERTINE FABRIC khổ 310cm",22.0,"T4.G2.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
32,"100054-0081","Vải Roller 100054-0081",12.85,"T4 D3+E3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
33,"10-780-1402","10-780-1402 W140cm",165.7,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
34,"142421-DCR","Vải chính 142421-DCR khổ 293cm",8.7,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
35,"1803 BLACKOUT","Vải 1803 BLACKOUT khổ 280cm",57.0,"T4.A1.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
36,"22A-990-5","22A-990-5 W140cm",47.9,"T4.H1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
37,"22E-990-2","22E-990-2 W140cm",30.8,"T4 F3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
38,"3c-40-11","Vải 3c-40-11 W280cm",20.0,"T4 E2","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
39,"71022-9","Vải lá màu kem W280 cm",52.3,"T4 B2.2","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
40,"8136-2","Vải 8136-2 W280cm",20.0,"T4 E2","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
41,"83086-08","Vải 83086-08 khổ 145cm",14.5,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
42,"83086-13","Vải 83086-13 W145cm",93.8,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
43,"83100-13","Vải chính 83100-13 khổ 145cm",27.5,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
44,"8600-06","Vải Roller 8600-06 W140cm",17.0,"T4 F3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
45,"8615-14","8615-14 W140cm",16.5,"T4.K3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
46,"8628-17","8628-17 W140cm",19.5,"T4 F3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
47,"A6120A195","A6 BON SOIR FABRIC",3m width,"m","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
48,"A65-2","Vải Voan  A65-2 W280cm",94.0,"T4 E2","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
49,"Ar070-02B","Vải Ar070-02B W140cm",11.0,"T4 G3.1","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
50,"AR074-02B","AR074-02B W140cm",18.5,"T4 F3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
51,"AR-076-02B","Vải chính AR-076-02B khổ 150cm",47.0,"T4 F3","Không có ảnh","Thêm ảnh hoặc ẩn tạm thời"
